Probe,Chromosome,Start,End,Probe Strand,Feature,ID,Description,Feature Strand,Type,Feature Orientation,Distance,SRR4190177.sorted.bam
Chr7:50838301-50839650,7,50838301,50839650,,AC004920.1,ENSG00000236046.1,No description,-,Genegene,overlapping,0,9.189825058
Chr9:4755751-4756800,9,4755751,4756800,,null,,,,,Not found,0,9.189825058
Chr14:35342251-35344950,14,35342251,35344950,,null,,,,,Not found,0,9.189825058
Chr8:43092451-43093650,8,43092451,43093650,,POMK,ENSG00000185900.9,No description,+,Genegene,overlapping,0,9.18735218
Chr9:86046751-86047800,9,86046751,86047800,,GOLM1,ENSG00000135052.16,No description,-,Genegene,overlapping,0,9.184875488
Chr16:86226751-86227950,16,86226751,86227950,,LINC01081,ENSG00000268754.3,No description,-,Genegene,overlapping,0,9.184875488
Chr20:47154751-47156100,20,47154751,47156100,,EYA2,ENSG00000064655.18,No description,+,Genegene,overlapping,0,9.184875488
Chr2:65202151-65203050,2,65202151,65203050,,AC007318.2,ENSG00000273763.2,No description,-,Genegene,upstream,452,9.182394028
Chr14:41897701-41899050,14,41897701,41899050,,LRFN5,ENSG00000165379.13,No description,+,Genegene,overlapping,0,9.182394028
Chr11:69511651-69512700,11,69511651,69512700,,null,,,,,Not found,0,9.177419662
Chr20:48693001-48693900,20,48693001,48693900,,PREX1,ENSG00000124126.13,No description,-,Genegene,overlapping,0,9.177419662
Chr1:30934201-30935250,1,30934201,30935250,,PUM1,ENSG00000134644.15,No description,-,Genegene,overlapping,0,9.174925804
Chr7:98979001-98979900,7,98979001,98979900,,TRRAP,ENSG00000196367.13,No description,+,Genegene,overlapping,0,9.174925804
Chr14:77499151-77500950,14,77499151,77500950,,ISM2,ENSG00000100593.17,No description,-,Genegene,downstream,301,9.174925804
Chr7:116764351-116765400,7,116764351,116765400,,MET,ENSG00000105976.14,No description,+,Genegene,overlapping,0,9.172428131
Chr13:114631351-114632250,13,114631351,114632250,,null,,,,,Not found,0,9.169924736
Chr2:161490751-161491650,2,161490751,161491650,,SLC4A10,ENSG00000144290.16,No description,+,Genegene,overlapping,0,9.16741848
Chr4:33483151-33484950,4,33483151,33484950,,null,,,,,Not found,0,9.16741848
Chr5:116194201-116195100,5,116194201,116195100,,COMMD10,ENSG00000145781.8,No description,+,Genegene,overlapping,0,9.16741848
Chr1:115721701-115722900,1,115721701,115722900,,CASQ2,ENSG00000118729.11,No description,-,Genegene,overlapping,0,9.164906502
Chr2:43015651-43016700,2,43015651,43016700,,null,,,,,Not found,0,9.164906502
Chr2:133130701-133131600,2,133130701,133131600,,NCKAP5,ENSG00000176771.16,No description,-,Genegene,overlapping,0,9.164906502
Chr7:23374051-23374950,7,23374051,23374950,,IGF2BP3,ENSG00000136231.13,No description,-,Genegene,overlapping,0,9.164906502
Chr9:111235201-111236400,9,111235201,111236400,,AL162414.1,ENSG00000227531.1,No description,-,Genegene,overlapping,0,9.164906502
Chr1:20683501-20684400,1,20683501,20684400,,KIF17,ENSG00000117245.12,No description,-,Genegene,overlapping,0,9.162391663
Chr2:101503951-101504850,2,101503951,101504850,,null,,,,,Not found,0,9.162391663
Chr2:177710101-177711150,2,177710101,177711150,,PDE11A,ENSG00000128655.17,No description,-,Genegene,overlapping,0,9.162391663
Chr14:38014951-38017050,14,38014951,38017050,,TTC6,ENSG00000139865.16,No description,+,Genegene,overlapping,0,9.162391663
Chr2:8713201-8714700,2,8713201,8714700,,null,,,,,Not found,0,9.159872055
Chr8:91766101-91767450,8,91766101,91767450,,AC103409.1,ENSG00000253901.1,No description,-,Genegene,overlapping,0,9.159872055
Chr1:49224151-49225050,1,49224151,49225050,,AGBL4,ENSG00000186094.16,No description,-,Genegene,overlapping,0,9.157346725
Chr12:54371401-54373200,12,54371401,54373200,,AC079313.2,ENSG00000258137.5,No description,+,Genegene,overlapping,0,9.157346725
Chr2:134825701-134826750,2,134825701,134826750,,CCNT2-AS1,ENSG00000224043.7,No description,-,Genegene,overlapping,0,9.154818535
Chr7:93440251-93441150,7,93440251,93441150,,CALCR,ENSG00000004948.14,No description,-,Genegene,overlapping,0,9.154818535
Chr8:29437051-29437950,8,29437051,29437950,,null,,,,,Not found,0,9.154818535
Chr17:47049451-47050500,17,47049451,47050500,,AC005670.2,ENSG00000262633.2,No description,+,Genegene,overlapping,0,9.154818535
Chr19:47287651-47288550,19,47287651,47288550,,C5AR1,ENSG00000197405.7,No description,+,Genegene,downstream,1473,9.154818535
Chr2:15906151-15907200,2,15906151,15907200,,null,,,,,Not found,0,9.152285576
Chr10:122709301-122710200,10,122709301,122710200,,null,,,,,Not found,0,9.149746895
Chr2:97630051-97630950,2,97630051,97630950,,null,,,,,Not found,0,9.144658089
Chr3:13152451-13154400,3,13152451,13154400,,IQSEC1,ENSG00000144711.15,No description,-,Genegene,overlapping,0,9.144658089
Chr7:130582501-130583550,7,130582501,130583550,,COPG2,ENSG00000158623.14,No description,-,Genegene,overlapping,0,9.144658089
Chr8:1911001-1911900,8,1911001,1911900,,KBTBD11-OT1,ENSG00000283239.1,No description,+,Genegene,overlapping,0,9.144658089
Chr10:29214001-29215050,10,29214001,29215050,,null,,,,,Not found,0,9.144658089
Chr10:90145051-90145950,10,90145051,90145950,,null,,,,,Not found,0,9.144658089
Chr7:99601201-99602550,7,99601201,99602550,,AC005020.2,ENSG00000272647.3,No description,+,Genegene,overlapping,0,9.14210701
Chr9:116410051-116411100,9,116410051,116411100,,null,,,,,Not found,0,9.14210701
Chr11:103422901-103423950,11,103422901,103423950,,DYNC2H1,ENSG00000187240.14,No description,+,Genegene,overlapping,0,9.14210701
Chr21:41386051-41387250,21,41386051,41387250,,MX2,ENSG00000183486.12,No description,+,Genegene,overlapping,0,9.14210701
Chr9:90738601-90739350,9,90738601,90739350,,null,,,,,Not found,0,9.139551163
Chr13:41110651-41112000,13,41110651,41112000,,null,,,,,Not found,0,9.139551163
Chr14:97040701-97041900,14,97040701,97041900,,null,,,,,Not found,0,9.139551163
Chr21:47714101-47715150,21,47714101,47715150,,null,,,,,Not found,0,9.136991501
Chr4:141556501-141557550,4,141556501,141557550,,null,,,,,Not found,0,9.131856918
Chr6:120003901-120004800,6,120003901,120004800,,null,,,,,Not found,0,9.131856918
Chr9:33817501-33818700,9,33817501,33818700,,UBE2R2-AS1,ENSG00000235481.2,No description,-,Genegene,overlapping,0,9.129282951
Chr10:103879801-103881300,10,103879801,103881300,,AL133355.1,ENSG00000260461.1,No description,-,Genegene,downstream,40,9.126704216
Chr11:30548851-30549750,11,30548851,30549750,,MPPED2,ENSG00000066382.16,No description,-,Genegene,overlapping,0,9.126704216
Chr17:55487251-55488300,17,55487251,55488300,,SMIM36,ENSG00000261873.2,No description,-,Genegene,overlapping,0,9.124121666
Chr7:127748851-127749900,7,127748851,127749900,,SND1,ENSG00000197157.10,No description,+,Genegene,overlapping,0,9.121533394
Chr8:11603701-11604750,8,11603701,11604750,,null,,,,,Not found,0,9.121533394
Chr19:23747701-23748900,19,23747701,23748900,,ZNF681,ENSG00000196172.9,No description,-,Genegene,overlapping,0,9.121533394
Chr4:84572401-84573300,4,84572401,84573300,,null,,,,,Not found,0,9.118941307
Chr4:95393401-95394600,4,95393401,95394600,,UNC5C,ENSG00000182168.14,No description,-,Genegene,overlapping,0,9.116344452
Chr5:57030901-57031650,5,57030901,57031650,,null,,,,,Not found,0,9.116344452
Chr1:8257651-8258700,1,8257651,8258700,,null,,,,,Not found,0,9.113742828
Chr6:151989751-151990950,6,151989751,151990950,,ESR1,ENSG00000091831.23,No description,+,Genegene,overlapping,0,9.113742828
Chr10:80651701-80652600,10,80651701,80652600,,AL731544.1,ENSG00000231082.1,No description,+,Genegene,overlapping,0,9.113742828
Chr3:14297851-14298750,3,14297851,14298750,,AC093496.1,ENSG00000255021.1,No description,-,Genegene,overlapping,0,9.111135483
Chr4:6690451-6692100,4,6690451,6692100,,LINC002481,ENSG00000246526.2,No description,-,Genegene,overlapping,0,9.111135483
Chr11:36333901-36334950,11,36333901,36334950,,PRR5L,ENSG00000135362.13,No description,+,Genegene,overlapping,0,9.111135483
Chr19:39899851-39900750,19,39899851,39900750,,FCGBP,ENSG00000275395.5,No description,-,Genegene,overlapping,0,9.111135483
Chr2:47197501-47198550,2,47197501,47198550,,AC106869.1,ENSG00000234690.6,No description,-,Genegene,overlapping,0,9.108524323
Chr3:64146601-64148400,3,64146601,64148400,,PRICKLE2,ENSG00000163637.12,No description,-,Genegene,overlapping,0,9.108524323
Chr4:129307951-129309000,4,129307951,129309000,,null,,,,,Not found,0,9.108524323
Chr4:143394751-143396550,4,143394751,143396550,,GAB1,ENSG00000109458.8,No description,+,Genegene,overlapping,0,9.108524323
Chr18:20981251-20982150,18,20981251,20982150,,ROCK1,ENSG00000067900.7,No description,-,Genegene,overlapping,0,9.108524323
Chr13:93876451-93877500,13,93876451,93877500,,GPC6,ENSG00000183098.10,No description,+,Genegene,overlapping,0,9.105908394
Chr16:25269151-25270200,16,25269151,25270200,,null,,,,,Not found,0,9.105908394
Chr2:121156351-121157400,2,121156351,121157400,,null,,,,,Not found,0,9.103287697
Chr1:172715251-172716300,1,172715251,172716300,,null,,,,,Not found,0,9.100662231
Chr7:2562601-2564550,7,2562601,2564550,,IQCE,ENSG00000106012.17,No description,+,Genegene,overlapping,0,9.100662231
Chr10:95776501-95777400,10,95776501,95777400,,ENTPD1,ENSG00000138185.19,No description,+,Genegene,overlapping,0,9.100662231
ChrX:122353051-122354250,X,122353051,122354250,,null,,,,,Not found,0,9.100662231
ChrX:49454251-49455150,X,49454251,49455150,,null,,,,,Not found,0,9.098031998
Chr8:29576401-29577450,8,29576401,29577450,,null,,,,,Not found,0,9.095396996
Chr12:52585051-52586550,12,52585051,52586550,,KRT72,ENSG00000170486.10,No description,-,Genegene,overlapping,0,9.095396996
Chr1:57276751-57277650,1,57276751,57277650,,DAB1,ENSG00000173406.15,No description,-,Genegene,overlapping,0,9.092757225
Chr12:52596751-52597950,12,52596751,52597950,,KRT72,ENSG00000170486.10,No description,-,Genegene,overlapping,0,9.090112686
Chr12:132850201-132851250,12,132850201,132851250,,CHFR,ENSG00000072609.17,No description,-,Genegene,overlapping,0,9.090112686
Chr3:127243951-127244850,3,127243951,127244850,,null,,,,,Not found,0,9.087462425
Chr5:173918251-173919150,5,173918251,173919150,,CPEB4,ENSG00000113742.12,No description,+,Genegene,overlapping,0,9.087462425
Chr6:18914701-18915600,6,18914701,18915600,,null,,,,,Not found,0,9.087462425
Chr1:207068251-207069750,1,207068251,207069750,,PFKFB2,ENSG00000123836.14,No description,+,Genegene,overlapping,0,9.08480835
Chr11:67563901-67564800,11,67563901,67564800,,null,,,,,Not found,0,9.08480835
Chr13:43806751-43807800,13,43806751,43807800,,null,,,,,Not found,0,9.08480835
Chr1:203028151-203029200,1,203028151,203029200,,PPFIA4,ENSG00000143847.15,No description,+,Genegene,overlapping,0,9.082149506
Chr3:39191551-39193050,3,39191551,39193050,,XIRP1,ENSG00000168334.8,No description,-,Genegene,overlapping,0,9.082149506
Chr10:71840851-71841900,10,71840851,71841900,,PSAP,ENSG00000197746.13,No description,-,Genegene,overlapping,0,9.082149506
Chr12:53365201-53366400,12,53365201,53366400,,null,,,,,Not found,0,9.082149506
Chr14:106090651-106091550,14,106090651,106091550,,null,,,,,Not found,0,9.082149506
Chr14:106323151-106325700,14,106323151,106325700,,IGHV4-28,ENSG00000211952.3,No description,-,Genegene,overlapping,0,9.082149506
Chr17:17508001-17508900,17,17508001,17508900,,PEMT,ENSG00000133027.17,No description,-,Genegene,overlapping,0,9.082149506
Chr14:70471951-70472850,14,70471951,70472850,,AL357153.2,ENSG00000257759.2,No description,-,Genegene,overlapping,0,9.076815605
Chr17:43120351-43121250,17,43120351,43121250,,BRCA1,ENSG00000012048.21,No description,-,Genegene,overlapping,0,9.076815605
Chr1:194036701-194037600,1,194036701,194037600,,null,,,,,Not found,0,9.074141502
Chr14:32866651-32869050,14,32866651,32869050,,null,,,,,Not found,0,9.074141502
Chr5:117345301-117346200,5,117345301,117346200,,null,,,,,Not found,0,9.071462631
Chr8:101428801-101430150,8,101428801,101430150,,AP001208.2,ENSG00000254084.1,No description,-,Genegene,overlapping,0,9.071462631
Chr1:21594451-21595650,1,21594451,21595650,,RAP1GAP,ENSG00000076864.19,No description,-,Genegene,upstream,565,9.06608963
Chr10:21919051-21920100,10,21919051,21920100,,DNAJC1,ENSG00000136770.10,No description,-,Genegene,overlapping,0,9.063394547
Chr14:57944551-57945450,14,57944551,57945450,,SLC35F4,ENSG00000151812.14,No description,-,Genegene,overlapping,0,9.063394547
Chr10:82726051-82727100,10,82726051,82727100,,NRG3,ENSG00000185737.12,No description,+,Genegene,overlapping,0,9.060695648
Chr1:230635951-230637000,1,230635951,230637000,,null,,,,,Not found,0,9.057991982
Chr6:14733001-14733900,6,14733001,14733900,,AL138720.1,ENSG00000234261.3,No description,-,Genegene,overlapping,0,9.055281639
Chr12:42654001-42655050,12,42654001,42655050,,LINC02451,ENSG00000257164.5,No description,+,Genegene,overlapping,0,9.055281639
Chr14:38326051-38327850,14,38326051,38327850,,null,,,,,Not found,0,9.055281639
Chr19:44242651-44243550,19,44242651,44243550,,ZNF235,ENSG00000159917.16,No description,-,Genegene,overlapping,0,9.049848557
Chr20:56629651-56630550,20,56629651,56630550,,TFAP2C,ENSG00000087510.6,No description,+,Genegene,overlapping,0,9.049848557
Chr1:116853751-116855850,1,116853751,116855850,,null,,,,,Not found,0,9.047123909
Chr8:122788201-122789250,8,122788201,122789250,,ZHX2,ENSG00000178764.7,No description,+,Genegene,overlapping,0,9.047123909
Chr1:229297201-229298700,1,229297201,229298700,,RAB4A,ENSG00000168118.11,No description,+,Genegene,overlapping,0,9.044394493
Chr2:9307951-9309000,2,9307951,9309000,,ASAP2,ENSG00000151693.10,No description,+,Genegene,overlapping,0,9.044394493
Chr6:111080401-111081750,6,111080401,111081750,,null,,,,,Not found,0,9.044394493
Chr7:47419351-47420250,7,47419351,47420250,,TNS3,ENSG00000136205.16,No description,-,Genegene,overlapping,0,9.044394493
Chr16:50994151-50995050,16,50994151,50995050,,null,,,,,Not found,0,9.044394493
Chr17:78125551-78126450,17,78125551,78126450,,TMC6,ENSG00000141524.15,No description,-,Genegene,overlapping,0,9.044394493
Chr20:48421501-48422550,20,48421501,48422550,,null,,,,,Not found,0,9.044394493
Chr12:98095351-98096250,12,98095351,98096250,,null,,,,,Not found,0,9.041659355
Chr16:14113501-14114550,16,14113501,14114550,,MRTFB,ENSG00000186260.16,No description,+,Genegene,overlapping,0,9.041659355
ChrX:153768901-153771150,X,153768901,153771150,,PLXNB3,ENSG00000198753.11,No description,+,Genegene,overlapping,0,9.041659355
Chr3:125985751-125986950,3,125985751,125986950,,null,,,,,Not found,0,9.038919449
Chr5:134544001-134544900,5,134544001,134544900,,JADE2,ENSG00000043143.20,No description,+,Genegene,overlapping,0,9.03617382
Chr8:144820501-144822900,8,144820501,144822900,,null,,,,,Not found,0,9.03617382
Chr4:114001-115200,4,114001,115200,,null,,,,,Not found,0,9.033423424
Chr22:34256101-34257000,22,34256101,34257000,,null,,,,,Not found,0,9.033423424
ChrX:53318101-53319000,X,53318101,53319000,,IQSEC2,ENSG00000124313.14,No description,-,Genegene,overlapping,0,9.033423424
Chr17:80846551-80847900,17,80846551,80847900,,RPTOR,ENSG00000141564.14,No description,+,Genegene,overlapping,0,9.030667305
Chr20:61044901-61046100,20,61044901,61046100,,null,,,,,Not found,0,9.030667305
Chr6:16130551-16131600,6,16130551,16131600,,MYLIP,ENSG00000007944.14,No description,+,Genegene,overlapping,0,9.027905464
Chr14:47861251-47862300,14,47861251,47862300,,null,,,,,Not found,0,9.027905464
Chr21:43025401-43026450,21,43025401,43026450,,PKNOX1,ENSG00000160199.14,No description,+,Genegene,overlapping,0,9.027905464
Chr7:97881001-97882050,7,97881001,97882050,,AC079781.5,ENSG00000284707.1,No description,-,Genegene,overlapping,0,9.025139809
Chr15:89181601-89183100,15,89181601,89183100,,ABHD2,ENSG00000140526.17,No description,+,Genegene,overlapping,0,9.025139809
Chr16:88050151-88051350,16,88050151,88051350,,BANP,ENSG00000172530.20,No description,+,Genegene,overlapping,0,9.025139809
Chr17:28286401-28287450,17,28286401,28287450,,KRT18P55,ENSG00000265480.5,No description,-,Genegene,overlapping,0,9.025139809
Chr11:46384801-46385850,11,46384801,46385850,,CHRM4,ENSG00000180720.7,No description,-,Genegene,overlapping,0,9.022368431
Chr1:201139351-201140850,1,201139351,201140850,,TMEM9,ENSG00000116857.16,No description,-,Genegene,overlapping,0,9.019591331
Chr1:235011001-235012800,1,235011001,235012800,,null,,,,,Not found,0,9.019591331
Chr11:76499101-76500300,11,76499101,76500300,,EMSY,ENSG00000158636.16,No description,+,Genegene,overlapping,0,9.01680851
Chr20:48943501-48945600,20,48943501,48945600,,ARFGEF2,ENSG00000124198.8,No description,+,Genegene,overlapping,0,9.01680851
Chr5:50674051-50675250,5,50674051,50675250,,PARP8,ENSG00000151883.17,No description,+,Genegene,overlapping,0,9.01402092
Chr7:73120651-73122150,7,73120651,73122150,,null,,,,,Not found,0,9.008428574
Chr9:90543451-90544200,9,90543451,90544200,,LINC01501,ENSG00000229613.1,No description,-,Genegene,overlapping,0,9.008428574
Chr1:37503901-37504800,1,37503901,37504800,,MEAF6,ENSG00000163875.15,No description,-,Genegene,overlapping,0,9.005624771
Chr7:34108951-34109850,7,34108951,34109850,,BMPER,ENSG00000164619.9,No description,+,Genegene,overlapping,0,9.005624771
Chr14:37585501-37587150,14,37585501,37587150,,null,,,,,Not found,0,9.005624771
Chr14:106109401-106110150,14,106109401,106110150,,IGHV5-10-1,ENSG00000282651.2,No description,-,Genegene,downstream,937,9.005624771
Chr12:46887151-46888200,12,46887151,46888200,,null,,,,,Not found,0,9.002815247
Chr19:18332701-18333600,19,18332701,18333600,,RN7SL513P,ENSG00000239821.3,No description,+,Genegene,overlapping,0,9.002815247
Chr21:43539901-43541250,21,43539901,43541250,,HSF2BP,ENSG00000160207.8,No description,-,Genegene,overlapping,0,9.002815247
Chr10:104533801-104534700,10,104533801,104534700,,null,,,,,Not found,0,9
Chr20:52138501-52139400,20,52138501,52139400,,ZFP64,ENSG00000020256.19,No description,-,Genegene,overlapping,0,9
Chr4:143329051-143329950,4,143329051,143329950,,AC097658.2,ENSG00000250969.1,No description,+,Genegene,overlapping,0,8.997179031
Chr12:53010751-53011800,12,53010751,53011800,,EIF4B,ENSG00000063046.17,No description,+,Genegene,overlapping,0,8.997179031
Chr19:12894301-12895500,19,12894301,12895500,,GCDH,ENSG00000105607.12,No description,+,Genegene,overlapping,0,8.997179031
Chr2:157790101-157791150,2,157790101,157791150,,ACVR1,ENSG00000115170.13,No description,-,Genegene,overlapping,0,8.994353294
Chr17:61512451-61513650,17,61512451,61513650,,null,,,,,Not found,0,8.994353294
Chr2:98850151-98851050,2,98850151,98851050,,KIAA1211L,ENSG00000196872.11,No description,-,Genegene,overlapping,0,8.991521835
Chr5:176882101-176883300,5,176882101,176883300,,HK3,ENSG00000160883.10,No description,-,Genegene,overlapping,0,8.991521835
Chr12:103569151-103570050,12,103569151,103570050,,null,,,,,Not found,0,8.988684654
Chr13:114536101-114537450,13,114536101,114537450,,null,,,,,Not found,0,8.988684654
Chr16:82104751-82105650,16,82104751,82105650,,AC092142.1,ENSG00000261235.1,No description,-,Genegene,overlapping,0,8.988684654
Chr17:16842001-16842900,17,16842001,16842900,,KRT17P1,ENSG00000131885.17,No description,-,Genegene,overlapping,0,8.988684654
Chr21:38639251-38640900,21,38639251,38640900,,ERG,ENSG00000157554.18,No description,-,Genegene,overlapping,0,8.988684654
Chr20:18039151-18040200,20,18039151,18040200,,OVOL2,ENSG00000125850.10,No description,-,Genegene,overlapping,0,8.985841751
ChrX:106586251-106587150,X,106586251,106587150,,null,,,,,Not found,0,8.985841751
Chr2:227015551-227016450,2,227015551,227016450,,COL4A4,ENSG00000081052.12,No description,-,Genegene,overlapping,0,8.98299408
Chr3:20227351-20228400,3,20227351,20228400,,SGO1-AS1,ENSG00000231304.2,No description,+,Genegene,overlapping,0,8.98299408
Chr3:59091001-59092350,3,59091001,59092350,,AC114400.1,ENSG00000243295.1,No description,+,Genegene,overlapping,0,8.98299408
Chr4:148956151-148957200,4,148956151,148957200,,null,,,,,Not found,0,8.98299408
Chr10:32047651-32049300,10,32047651,32049300,,KIF5B,ENSG00000170759.10,No description,-,Genegene,overlapping,0,8.98299408
Chr13:42126001-42126900,13,42126001,42126900,,DGKH,ENSG00000102780.16,No description,+,Genegene,overlapping,0,8.98299408
Chr16:87840301-87841350,16,87840301,87841350,,SLC7A5,ENSG00000103257.8,No description,-,Genegene,overlapping,0,8.98299408
Chr16:68741401-68742300,16,68741401,68742300,,CDH1,ENSG00000039068.18,No description,+,Genegene,overlapping,0,8.980139732
Chr1:58028251-58029300,1,58028251,58029300,,DAB1,ENSG00000173406.15,No description,-,Genegene,overlapping,0,8.977279663
Chr13:36290101-36291150,13,36290101,36291150,,CCDC169-SOHLH2,ENSG00000250709.1,No description,-,Genegene,overlapping,0,8.977279663
Chr19:38789401-38790450,19,38789401,38790450,,LGALS7B,ENSG00000178934.4,No description,+,Genegene,overlapping,0,8.977279663
Chr11:84398251-84399300,11,84398251,84399300,,DLG2,ENSG00000150672.17,No description,-,Genegene,overlapping,0,8.974414825
Chr6:36719551-36721350,6,36719551,36721350,,RAB44,ENSG00000255587.8,No description,+,Genegene,overlapping,0,8.971543312
Chr7:157047451-157048650,7,157047451,157048650,,null,,,,,Not found,0,8.971543312
Chr9:80203201-80205000,9,80203201,80205000,,null,,,,,Not found,0,8.971543312
Chr9:117291001-117291900,9,117291001,117291900,,ASTN2,ENSG00000148219.16,No description,-,Genegene,overlapping,0,8.971543312
Chr1:117401251-117402150,1,117401251,117402150,,MAN1A2,ENSG00000198162.12,No description,+,Genegene,overlapping,0,8.96866703
Chr4:140762851-140763900,4,140762851,140763900,,null,,,,,Not found,0,8.96866703
Chr16:11799751-11800650,16,11799751,11800650,,AC010654.1,ENSG00000277369.1,No description,+,Genegene,upstream,1476,8.96866703
Chr22:44928301-44929200,22,44928301,44929200,,PHF21B,ENSG00000056487.15,No description,-,Genegene,overlapping,0,8.96866703
ChrX:24208351-24209250,X,24208351,24209250,,ZFX,ENSG00000005889.15,No description,+,Genegene,overlapping,0,8.96866703
Chr8:124194151-124195950,8,124194151,124195950,,AC090921.1,ENSG00000214803.3,No description,-,Genegene,overlapping,0,8.965784073
Chr1:38588851-38589900,1,38588851,38589900,,null,,,,,Not found,0,8.962895393
Chr12:64474201-64475700,12,64474201,64475700,,TBK1,ENSG00000183735.9,No description,+,Genegene,overlapping,0,8.962895393
Chr15:54037951-54039300,15,54037951,54039300,,UNC13C,ENSG00000137766.17,No description,+,Genegene,overlapping,0,8.962895393
Chr17:60867601-60868650,17,60867601,60868650,,BCAS3,ENSG00000141376.22,No description,+,Genegene,overlapping,0,8.962895393
Chr9:85554151-85555050,9,85554151,85555050,,AGTPBP1,ENSG00000135049.15,No description,-,Genegene,overlapping,0,8.960001945
Chr10:79945051-79946100,10,79945051,79946100,,BMS1P21,ENSG00000283913.1,No description,+,Genegene,overlapping,0,8.960001945
Chr15:41036101-41037000,15,41036101,41037000,,INO80,ENSG00000128908.16,No description,-,Genegene,overlapping,0,8.960001945
Chr15:51057001-51058500,15,51057001,51058500,,MIR4713HG,ENSG00000259240.1,No description,+,Genegene,overlapping,0,8.960001945
Chr17:38707201-38709300,17,38707201,38709300,,MLLT6,ENSG00000275023.4,No description,+,Genegene,overlapping,0,8.960001945
Chr17:46577101-46578450,17,46577101,46578450,,ARL17A,ENSG00000185829.17,No description,-,Genegene,overlapping,0,8.960001945
Chr5:173100151-173101050,5,173100151,173101050,,CREBRF,ENSG00000164463.12,No description,+,Genegene,overlapping,0,8.951284409
Chr14:47215051-47216700,14,47215051,47216700,,MDGA2,ENSG00000139915.19,No description,-,Genegene,overlapping,0,8.951284409
Chr16:10688101-10689150,16,10688101,10689150,,TEKT5,ENSG00000153060.7,No description,-,Genegene,overlapping,0,8.948367119
Chr16:81321901-81322950,16,81321901,81322950,,GAN,ENSG00000261609.6,No description,+,Genegene,overlapping,0,8.948367119
Chr2:45236101-45237750,2,45236101,45237750,,LINC01121,ENSG00000205054.7,No description,-,Genegene,overlapping,0,8.945444107
Chr12:121664851-121665750,12,121664851,121665750,,MORN3,ENSG00000139714.12,No description,-,Genegene,overlapping,0,8.945444107
Chr2:11074801-11075850,2,11074801,11075850,,null,,,,,Not found,0,8.94251442
Chr6:110830651-110831550,6,110830651,110831550,,null,,,,,Not found,0,8.94251442
Chr7:34076251-34077450,7,34076251,34077450,,BMPER,ENSG00000164619.9,No description,+,Genegene,overlapping,0,8.94251442
Chr11:1849351-1851300,11,1849351,1851300,,LSP1,ENSG00000130592.15,No description,+,Genegene,downstream,1670,8.94251442
Chr14:70443301-70444350,14,70443301,70444350,,AL357153.2,ENSG00000257759.2,No description,-,Genegene,overlapping,0,8.94251442
Chr21:40693051-40694550,21,40693051,40694550,,DSCAM,ENSG00000171587.14,No description,-,Genegene,overlapping,0,8.94251442
Chr21:43739251-43740450,21,43739251,43740450,,PDXK,ENSG00000160209.18,No description,+,Genegene,overlapping,0,8.94251442
Chr2:107576701-107577900,2,107576701,107577900,,null,,,,,Not found,0,8.93957901
Chr1:223385701-223386750,1,223385701,223386750,,null,,,,,Not found,0,8.936637878
Chr10:98238601-98239500,10,98238601,98239500,,R3HCC1L,ENSG00000166024.13,No description,+,Genegene,overlapping,0,8.936637878
Chr4:140796301-140797200,4,140796301,140797200,,null,,,,,Not found,0,8.933690071
Chr17:5216701-5217750,17,5216701,5217750,,AC087500.1,ENSG00000261879.6,No description,+,Genegene,overlapping,0,8.933690071
Chr21:37774051-37775100,21,37774051,37775100,,KCNJ6,ENSG00000157542.10,No description,-,Genegene,overlapping,0,8.933690071
Chr4:105828901-105829950,4,105828901,105829950,,INTS12,ENSG00000138785.14,No description,-,Genegene,overlapping,0,8.930737495
Chr7:32719951-32720850,7,32719951,32720850,,DPY19L1P1,ENSG00000229358.3,No description,-,Genegene,overlapping,0,8.930737495
Chr8:86463751-86465700,8,86463751,86465700,,WWP1,ENSG00000123124.13,No description,+,Genegene,overlapping,0,8.930737495
Chr8:101963551-101965950,8,101963551,101965950,,NCALD,ENSG00000104490.17,No description,-,Genegene,overlapping,0,8.930737495
Chr14:31494451-31496400,14,31494451,31496400,,NUBPL,ENSG00000151413.16,No description,+,Genegene,overlapping,0,8.930737495
Chr2:72079501-72080400,2,72079501,72080400,,null,,,,,Not found,0,8.92777729
Chr4:90622051-90622950,4,90622051,90622950,,CCSER1,ENSG00000184305.15,No description,+,Genegene,overlapping,0,8.92777729
Chr6:106582651-106583700,6,106582651,106583700,,RTN4IP1,ENSG00000130347.12,No description,-,Genegene,overlapping,0,8.92777729
Chr7:345451-346350,7,345451,346350,,null,,,,,Not found,0,8.92777729
Chr13:32642101-32643150,13,32642101,32643150,,PDS5B,ENSG00000083642.18,No description,+,Genegene,overlapping,0,8.92777729
Chr6:68605951-68607000,6,68605951,68607000,,null,,,,,Not found,0,8.924812317
Chr14:54429751-54430800,14,54429751,54430800,,CNIH1,ENSG00000100528.11,No description,-,Genegene,overlapping,0,8.924812317
Chr14:64108051-64109100,14,64108051,64109100,,SYNE2,ENSG00000054654.16,No description,+,Genegene,overlapping,0,8.924812317
Chr2:20580751-20581800,2,20580751,20581800,,HS1BP3,ENSG00000118960.12,No description,-,Genegene,overlapping,0,8.921840668
Chr14:77577151-77578350,14,77577151,77578350,,SPTLC2,ENSG00000100596.6,No description,-,Genegene,overlapping,0,8.918863297
